dt device_translation_speed_cmd device_rotation_speed_cmd 
0.100000000 2.019119263 -0.124611855
0.100000000 2.019119263 -0.124611855
0.100000000 1.940879822 -0.123679638
0.100000000 1.940879822 -0.123679638
0.100000000 2.015075684 -0.172340274
0.100000000 2.015075684 -0.172340274
0.100000000 2.001228333 -0.245763659
0.100000000 2.001228333 -0.245763659
0.100000000 1.888580322 -0.595630407
0.100000000 1.888580322 -0.595630407
0.100000000 1.918182373 -0.513522029
0.100000000 1.918182373 -0.513522029
0.100000000 1.985549927 -0.210297108
0.100000000 1.985549927 -0.210297108
0.100000000 2.009201050 -0.005308986
0.100000000 2.009201050 -0.005308986
0.100000000 2.017631531 0.063685775
0.100000000 2.017631531 0.063685775
0.100000000 2.021446228 0.065022111
0.100000000 2.021446228 0.065022111
0.100000000 2.023048401 0.048429370
0.100000000 2.023048401 0.048429370
0.100000000 2.023696899 0.026543736
0.100000000 2.023696899 0.026543736
0.100000000 2.023582458 -0.006545186
0.100000000 2.023582458 -0.006545186
0.100000000 1.990737915 0.120972395
0.100000000 1.990737915 0.120972395
0.100000000 1.926612854 0.469900370
0.100000000 1.926612854 0.469900370
0.100000000 1.957321167 0.428525805
0.100000000 1.957321167 0.428525805
0.100000000 1.996078491 0.247694850
0.100000000 1.996078491 0.247694850
0.100000000 2.013740540 0.057559013
0.100000000 2.013740540 0.057559013
0.100000000 2.018814087 -0.051494837
0.100000000 2.018814087 -0.051494837
0.100000000 2.012557983 -0.152605176
0.100000000 2.012557983 -0.152605176
0.100000000 1.988067627 -0.325627327
0.100000000 1.988067627 -0.325627327
0.100000000 1.890258789 -0.402593017
0.100000000 1.890258789 -0.402593017
0.100000000 1.923942566 -0.557874441
0.100000000 1.923942566 -0.557874441
0.100000000 1.972465515 -0.322005153
0.100000000 1.972465515 -0.322005153
0.100000000 1.976890564 0.103443265
0.100000000 1.976890564 0.103443265
0.100000000 1.966514587 0.330816507
0.100000000 1.966514587 0.330816507
0.100000000 1.997642517 0.229405165
0.100000000 1.997642517 0.229405165
0.100000000 2.015953064 0.064548850
0.100000000 2.015953064 0.064548850
0.100000000 2.021522522 -0.031782985
0.100000000 2.021522522 -0.031782985
0.100000000 2.023620605 -0.057913661
0.100000000 2.023620605 -0.057913661
0.100000000 2.024688721 -0.054015517
0.100000000 2.024688721 -0.054015517
0.100000000 2.025222778 -0.035232902
0.100000000 2.025222778 -0.035232902
0.100000000 2.025222778 -0.015429854
0.100000000 2.025222778 -0.015429854
0.100000000 2.020339966 0.044574142
0.100000000 2.020339966 0.044574142
0.100000000 2.005424500 0.212454796
0.100000000 2.005424500 0.212454796
0.100000000 1.929626465 0.208757520
0.100000000 1.929626465 0.208757520
0.100000000 2.004508972 -0.034432411
0.100000000 2.004508972 -0.034432411
0.100000000 1.972351074 -0.322187543
0.100000000 1.972351074 -0.322187543
0.100000000 1.997032166 -0.200869441
0.100000000 1.997032166 -0.200869441
0.100000000 2.015266418 -0.056865811
0.100000000 2.015266418 -0.056865811
0.100000000 2.021446228 0.001585484
0.100000000 2.021446228 0.001585484
0.100000000 2.023582458 0.008217692
0.100000000 2.023582458 0.008217692
0.100000000 2.024078369 -0.006031990
